amenity,geometry,name
post_office,POINT (9.1392698 45.5314359),Mail Boxes Etc.
cafe,POINT (9.1392859 45.5316063),Latteria di Novate
bar,POINT (9.1415691 45.5319559),Nero 17
cafe,POINT (9.1399836 45.5316654),Gelato e Caffè
cafe,POINT (9.1401104 45.5317608),Cafè Vintage
restaurant,POINT (9.1398686 45.5318153),La Volpe
restaurant,POINT (9.1392923 45.531791),Novate Grill House
cafe,POINT (9.1395421 45.5284914),Cafè Village
restaurant,POINT (9.140718 45.5314774),San Karas
cafe,POINT (11.2150207 44.5183425),My Chef
restaurant,POINT (11.2150994 44.5183477),MyChef
restaurant,POINT (11.2145407 44.5196886),
cafe,POINT (11.2144421 44.5196839),
fast_food,POINT (11.214714 44.5183207),McDonald's
fast_food,POINT (11.214268 44.5198023),McDonald's
restaurant,POINT (9.1489382 45.5301541),Autogrill
restaurant,POINT (9.1409851 45.533344),Pizzeria dell'Oca
restaurant,POINT (9.1403232 45.5332832),Il Basilico
restaurant,POINT (9.1399568 45.5331639),Leone
restaurant,POINT (9.1420132 45.5329834),Profumo di Pizza
restaurant,POINT (9.1421505 45.5321587),Locanda Conte Ghiotto
restaurant,POINT (9.1545495 45.5306728),Trattoria Procopio
cafe,POINT (9.1410753 45.5315021),Cimino
cafe,POINT (9.1410194 45.5315537),Caffè della Rotonda
pub,POINT (9.1410906 45.5311671),Leone
cafe,POINT (9.1394035 45.5316728),London
post_office,POINT (9.1392698 45.5314359),Mail Boxes Etc.
cafe,POINT (9.1392859 45.5316063),Latteria di Novate
bar,POINT (9.1415691 45.5319559),Nero 17
cafe,POINT (9.1399836 45.5316654),Gelato e Caffè
cafe,POINT (9.1401104 45.5317608),Cafè Vintage
restaurant,POINT (9.1398686 45.5318153),La Volpe
restaurant,POINT (9.1392923 45.531791),Novate Grill House
cafe,POINT (9.1395421 45.5284914),Cafè Village
restaurant,POINT (9.140718 45.5314774),San Karas
restaurant,POINT (9.0414025 45.5594692),Autogrill
restaurant,POINT (9.0389963 45.5588459),Autogrill
cafe,POINT (9.0519781 45.5634606),Milani Café Arese
restaurant,POINT (9.0414025 45.5594692),Autogrill
restaurant,POINT (9.0389963 45.5588459),Autogrill
cafe,POINT (9.0519781 45.5634606),Milani Café Arese
restaurant,POINT (9.0414025 45.5594692),Autogrill
restaurant,POINT (9.0389963 45.5588459),Autogrill
cafe,POINT (9.0519781 45.5634606),Milani Café Arese
cafe,POINT (11.2150207 44.5183425),My Chef
restaurant,POINT (11.2150994 44.5183477),MyChef
restaurant,POINT (11.2145407 44.5196886),
cafe,POINT (11.2144421 44.5196839),
fast_food,POINT (11.214714 44.5183207),McDonald's
fast_food,POINT (11.214268 44.5198023),McDonald's
cafe,POINT (11.2150207 44.5183425),My Chef
restaurant,POINT (11.2150994 44.5183477),MyChef
restaurant,POINT (11.2145407 44.5196886),
cafe,POINT (11.2144421 44.5196839),
fast_food,POINT (11.214714 44.5183207),McDonald's
fast_food,POINT (11.214268 44.5198023),McDonald's
cafe,POINT (11.2150207 44.5183425),My Chef
restaurant,POINT (11.2150994 44.5183477),MyChef
restaurant,POINT (11.2145407 44.5196886),
cafe,POINT (11.2144421 44.5196839),
fast_food,POINT (11.214714 44.5183207),McDonald's
fast_food,POINT (11.214268 44.5198023),McDonald's
fast_food,POINT (14.0921385 41.2334468),Sarni Grill Teano Ovest
restaurant,POINT (14.0941478 41.2342998),Autogrill Teano Est
restaurant,POINT (14.7835523 40.925655),Autogrill
restaurant,POINT (14.7833699 40.9255701),Ciao
post_office,POINT (14.7835462 40.9208079),Ufficio Postale - via Giovanni Di G.
restaurant,POINT (14.7835523 40.925655),Autogrill
restaurant,POINT (14.7833699 40.9255701),Ciao
post_office,POINT (14.7835462 40.9208079),Ufficio Postale - via Giovanni Di G.
cafe,POINT (9.0459153 44.3931797),Mychef
cafe,POINT (9.0450502 44.3919353),MyChef
restaurant,POINT (9.0356151 44.3879833),Ristorantge Pizzeria La Baita
restaurant,POINT (9.0291902 45.7291455),Autogrill
restaurant,POINT (9.0240276 45.7340636),Il Candeliere
bar,POINT (9.0381519 45.7257677),Kamba
cafe,POINT (9.0275399 45.7292429),Festival
restaurant,POINT (9.0291902 45.7291455),Autogrill
restaurant,POINT (9.0240276 45.7340636),Il Candeliere
bar,POINT (9.0381519 45.7257677),Kamba
cafe,POINT (9.0275399 45.7292429),Festival
post_office,POINT (11.7685797 43.4035478),
bar,POINT (11.7683466 43.4085286),Le Fate Ignoranti
cafe,POINT (11.766997 43.407241),
restaurant,POINT (11.762394 43.4078049),Autogrill
restaurant,POINT (11.7635829 43.4051991),Autogrill
restaurant,POINT (9.2532814 45.4493706),Bella Alice
post_office,POINT (9.2515244 45.4517365),Milano 62
restaurant,POINT (9.2593973 45.4513115),El Tekkia
cafe,POINT (9.2514948 45.4506712),Happy Bar
post_office,POINT (9.2524267 45.4510834),Nexive
cafe,POINT (9.2532855 45.4520996),
restaurant,POINT (9.2533737 45.4493201),Touro Churrascaria
restaurant,POINT (9.2532814 45.4493706),Bella Alice
post_office,POINT (9.2515244 45.4517365),Milano 62
restaurant,POINT (9.2593973 45.4513115),El Tekkia
cafe,POINT (9.2514948 45.4506712),Happy Bar
post_office,POINT (9.2524267 45.4510834),Nexive
cafe,POINT (9.2532855 45.4520996),
restaurant,POINT (9.2533737 45.4493201),Touro Churrascaria
fast_food,POINT (14.0921385 41.2334468),Sarni Grill Teano Ovest
restaurant,POINT (14.0941478 41.2342998),Autogrill Teano Est
fast_food,POINT (14.0921385 41.2334468),Sarni Grill Teano Ovest
restaurant,POINT (14.0941478 41.2342998),Autogrill Teano Est
fast_food,POINT (12.6189369 43.9940903),
fast_food,POINT (12.6193675 43.9951735),
