outletId,chargerId,position,type,physicalPosition,cableLength,producer,errorCode,hycErrorCode,status,text,updateTime,isPrivate
70522,10539,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:38:19+00:00,False
60671,8933,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:20:48+00:00,False
60672,8933,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:33:24+00:00,False
127899,19523,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T19:22:07+00:00,False
127900,19523,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:32:15+00:00,False
89464,13424,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:22:00+00:00,False
89465,13424,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:48:50+00:00,False
114975,17820,1,CCS2_400,1.0,500,,NoError,NoError,Charging,No Error,2024-09-03T20:01:21+00:00,False
114976,17820,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:34:58+00:00,False
114913,17817,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T20:05:42+00:00,False
114914,17817,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-02T16:11:51+00:00,False
114193,16949,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T12:25:37+00:00,False
114194,16949,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:46:16+00:00,False
126125,13443,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T19:32:39+00:00,False
126126,13443,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T20:03:08+00:00,False
89452,13421,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:31:24+00:00,False
89453,13421,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:31:24+00:00,False
86240,10583,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T08:40:53+00:00,False
86241,10583,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:07:34+00:00,False
1462998,83756,1,CCS2_400,1.0,500,,NoError,,Available,No Error,2024-09-03T05:48:39+00:00,False
