connector_evse_id,station_name,station_address,station_postal_code,station_coordinates_lat,station_coordinates_lon,station_brand,totEnergy,totSessions,totCost,Potenza (kW),Station Città,Ricavi totali (€) (IVA esclusa),Tempo Totale (min),denominazione_regione,EV_percentage_per_region
IT*F2X*EF2XITN8151*1,Area di Servizio - Torre Cerrano Ovest,Autostrada Adriatica,64028,42.530677,14.124067,EVTEC,1818.264,85,987.9,62.5,Torre Cerrano,627.21,1576.0,Abruzzo,0.0374
IT*F2X*EF2XITN8151*2,Area di Servizio - Torre Cerrano Ovest,Autostrada Adriatica,64028,42.530677,14.124067,EVTEC,444.3420000000001,30,244.39,62.5,Torre Cerrano,496.99,2044.0,Abruzzo,0.0374
IT*F2X*EF2XITN8151*3,Area di Servizio - Torre Cerrano Ovest,Autostrada Adriatica,64028,42.530677,14.124067,EVTEC,503.6520000000001,86,226.58,22.0,Torre Cerrano,152.34,2752.0,Abruzzo,0.0374
IT*F2X*EF2XITB2551*2,Area di Servizio - Prenestina Est,A1 - Autostrada del Sole,10,41.891073,12.759,EVTEC,257.289,18,141.51,62.5,Roma,188.37,604.0,Lazio,0.0694
IT*F2X*EF2XITB2551*3,Area di Servizio - Prenestina Est,A1 - Autostrada del Sole,10,41.891073,12.759,EVTEC,576.1009999999999,118,252.69,22.0,Roma,231.49,3708.0,Lazio,0.0694
IT*F2X*EF2XITP4151*1,Area di Servizio - Calaggio Sud,A16 Autostrada dei due Mari,83059,41.064668,15.314502,EVTEC,838.963,40,461.46,62.5,Vallata,438.48,1007.0,Campania,0.0206
IT*F2X*EF2XITA3001*1,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.662303,10.858004,alpitronic GmbH,54080.24000000002,1620,36771.63,300.0,Modena,59523.37,72659.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA3001*2,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.662303,10.858004,alpitronic GmbH,74038.46399999993,2121,50322.77,300.0,Modena,47942.33,59545.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA3002*1,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.662299,10.857972,alpitronic GmbH,56488.65599999999,1694,38425.58,300.0,Modena,50395.54,60386.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA3002*2,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.662299,10.857972,alpitronic GmbH,49288.35199999996,1423,33402.09,300.0,Modena,50382.72,61242.0,Emilia-Romagna,0.0661
